"path","name","code","price","headline","caption","abstract","explanation","additional1","taxable","point-code","sale-limit","jan","delivery","astk-code","condition","taojapan","product-category","display","sort","item-image-urls"
"マヌカハニー","マヌカヘルス マヌカハニー  MGO 573+ (550)  500g 送料無料/運送状番号付き/産地直送","MH550500","12780","産地のニュージーランドから直送致します。","内容量：500g　<br>
原産地：ニュージーランド <Br>
使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。
<br><br>
ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","","ニュージーランド・マヌカヘルス社のマヌカハニー MGO550+ 500gです。

マヌカハニーは、ニュージーランドの原生の植物であるマヌカの花の蜜から採れる蜂蜜のことで、たんぱく質やミネラル、ビタミンが豊富で、自然の抗菌作用があり、免疫力を高める効果があると言われています。特に、ピロリ菌除去・歯周病菌除去・抗菌作用などが期待できます。

MGO550+とは、マヌカハニー1kg中に抗菌活性作用をもたらす物質であるMGO（食物メチルグリオキサール）が550mg以上入っており、これはUMF25+相当とされています。","弊社の商品は個人輸入商品ですので消費税は免除となっております。但し、合計金額が16,666円を超えますと消費税・関税が掛かり、お客様のご負担になる可能性があります。","0","1","1","9420063101208","1","0","0","1","1304","1","1","https://item-shopping.c.yimg.jp/i/l/pns_mh550500;;;;;;;;;;;;;;;;;;;;"
"マヌカハニー","MANUKA SCIENCE マヌカハニースティック UMF 15+ 20本入り","yiap06573","6900","","","マヌカハニーは、免疫システムを強化するための理想的な毎日のスーパーフードです。クリーミーでリッチな味わいと、濃厚なトーン、ベルベットのような滑らかな食感をお楽しみいただけます。
UMF評価システムは、マヌカハニーに含まれる自然成分を独立して認証し、効能、純度、真正性、新鮮さを保証します。","Ingredients
100% 純粋プレミアムマヌカハニー (UMF15+)

Directions 
直射日光を避けて、乾燥した場所に保管してください。
非常に暑いまたは湿度の高い気候でない限り、冷蔵庫に保管する必要はありません。
12ヶ月未満の乳児には適していません。","弊社の商品は個人輸入商品ですので消費税は免除となっております。但し、合計金額が16,666円を超えますと消費税・関税が掛かり、お客様のご負担になる可能性があります。","0","1","2","","1","0","0","1","1304","1","2","https://item-shopping.c.yimg.jp/i/l/pns_yiap06573_i_20240917174441;https://item-shopping.c.yimg.jp/i/l/pns_yiap06573_1_d_20240917174450;https://item-shopping.c.yimg.jp/i/l/pns_yiap06573_2_d_20240917174458;;;;;;;;;;;;;;;;;;"
"マヌカハニー","マヌカヘルス マヌカハニー　MGO 115+  250g　","MHMGO100250","3900","ニュージーランド産","内容量：250g　<br>
原産地：ニュージーランド <Br>
使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。
<br><br>
ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","","MGO 115+ マヌカハニーは、ある種のマヌカハニーのみに多量に含まれる天然成分の食用メチルグリオキサルが1ｋｇ中に少なくとも115mg含有されていることを表示しています。
ドイツのドレスデン大学の試験によると１ｋｇ中に115mgの食用メチルグリオキサルが含まれていれば健康に役立つということが証明されました。","","0","","","9421023620036","1","0","0","1","1304","0","3","https://item-shopping.c.yimg.jp/i/l/pns_mhmgo100250_i_20240130124922;;;;;;;;;;;;;;;;;;;;"
"マヌカハニー","マヌカヘルス マヌカハニー　MGO 263+  250g　","MHMGO250250","4990","ニュージーランド産","内容量：250g　<br>
原産地：ニュージーランド <Br> <Br>

使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。
<br><br>

ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","","MGO 263+ マヌカハニーは、ある種のマヌカハニーのみに多量に含まれる天然成分の食用メチルグリオキサルが1ｋｇ中に少なくとも263mg含有されていることを表示しています。
ドイツのドレスデン大学の試験によると１ｋｇ中に100mgの食用メチルグリオキサルが含まれていれば健康に役立つということが証明されました。","","0","","","9421023620685","1","0","0","1","21368","1","4","https://item-shopping.c.yimg.jp/i/l/pns_mhmgo250250_i_20241112174722;;;;;;;;;;;;;;;;;;;;"
"マヌカハニー","マヌカヘルス　MGO& 30+ マヌカハニー 500g　","MHMGO30250","5500","産地のニュージーランドから直送致します。","内容量：500g　<br>
原産地：ニュージーランド <Br>
使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。
<br><br>
ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","通常ご注文をいただいてから３～１０日以内でお届けいたします。","MGO& 30+ マヌカハニー・ブレンドは、食用メチルグリオキサルが1ｋｇ中に少なくとも30mg含有されていることを表示しています。
このメチルグリオキサルは、ドイツのドレスデン大学によりマヌカハニーに特別な性質をもたらす天然成分であると認められています。
豊かな味わいのマヌカハニーと暖かく燃えるようなニュージーランドブッシュハニーを組み合わせて、最高の味を提供します。
 
健康に役立つハニーとして認められるためには、１ｋｇ中に少なくとも30mgの食用メチルグリオキサルが含まれている必要があることをご承知おきください。","","0","","","","0","0","0","1","21368","0","5","https://item-shopping.c.yimg.jp/i/l/pns_mhmgo30250;;;;;;;;;;;;;;;;;;;;"
"マヌカハニー","マヌカヘルス マヌカハニー　MGO 400+  250g　送料無料/運送状番号付 き/産地直送　","MHMGO400250","5180","ニュージーランド産","内容量：250g　<br>
原産地：ニュージーランド <Br>
使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。
<br><br>
ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","","MGO 400+ マヌカハニーは、ある種のマヌカハニーのみに多量に含まれる天然成分の食用メチルグリオキサルが1ｋｇ中に少なくとも400mg含有されていることを表示しています。
ドイツのドレスデン大学の試験によると１ｋｇ中に100mgの食用メチルグリオキサルが含まれていれば健康に役立つということが証明されました。","弊社の商品は個人輸入商品ですので消費税は免除となっております。但し、合計金額が16,666円を超えますと消費税・関税が掛かり、お客様のご負担になる可能性があります。","0","1","3","9421023620067","1","0","0","1","1304","1","6","https://item-shopping.c.yimg.jp/i/l/pns_mhmgo400250;;;;;;;;;;;;;;;;;;;;"
"マヌカハニー","マヌカヘルス マヌカハニー　MGO 550+(MGO 573+)  250g　送料無料/運送状番号付 き/産地直送","MHMGO550250","6480","ニュージーランド産","内容量：250g　<br>
原産地：ニュージーランド <Br>
使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。
<br><br>
ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","","MGO 550+ マヌカハニーは、ある種のマヌカハニーのみに多量に含まれる天然成分の食用メチルグリオキサルが1ｋｇ中に少なくとも550mg含有されていることを表示しています。
ドイツのドレスデン大学の試験によると１ｋｇ中に100mgの食用メチルグリオキサルが含まれていれば健康に役立つということが証明されました。
MGO& 550+ マヌカハニーは、マヌカヘルス社の提供する最高レベルのメチルグリオキサルを含んでいます。","弊社の商品は個人輸入商品ですので消費税は免除となっております。但し、合計金額が16,666円を超えますと消費税・関税が掛かり、お客様のご負担になる可能性があります。","0","1","2","9421023620098","1","0","0","1","1304","1","7","https://item-shopping.c.yimg.jp/i/l/pns_mhmgo550250;;;;;;;;;;;;;;;;;;;;"
"マヌカハニー","マヌカヘルス マヌカハニー　MGO 400+ 500g　送料無料/運送状番号付 き/産地直送","MHMGO400500","8180","ニュージーランド産","内容量：500g <BR>
原産地：ニュージーランド <BR><BR>
使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。 
<BR><BR>
ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","","MGO 400+ マヌカハニーは、ある種のマヌカハニーのみに多量に含まれる天然成分の食用メチルグリオキサルが1ｋｇ中に少なくとも400mg含有されていることを表示しています。
ドイツのドレスデン大学の試験によると１ｋｇ中に100mgの食用メチルグリオキサルが含まれていれば健康に役立つということが証明されました。","弊社の商品は個人輸入商品ですので消費税は免除となっております。但し、合計金額が16,666円を超えますと消費税・関税が掛かり、お客様のご負担になる可能性があります。","0","1","2","9421023620074","1","0","0","1","1304","1","8","https://item-shopping.c.yimg.jp/i/l/pns_mhmgo400500;;;;;;;;;;;;;;;;;;;;"
"マヌカハニー","マヌカヘルス マヌカハニー　MGO 263+ (250+) 500g 送料無料、産地直送","MHMGO250500","7470","ニュージーランド産","内容量：500g　<BR>
原産地：ニュージーランド 
<BR><BR>
使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。 
<BR><BR>
ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","","MGO 263+ マヌカハニーは、ある種のマヌカハニーのみに多量に含まれる天然成分の食用メチルグリオキサルが1ｋｇ中に少なくとも263mg含有されていることを表示しています。
ドイツのドレスデン大学の試験によると１ｋｇ中に100mgの食用メチルグリオキサルが含まれていれば健康に役立つということが証明されました。","弊社の商品は個人輸入商品ですので消費税は免除となっております。但し、合計金額が16,666円を超えますと消費税・関税が掛かり、お客様のご負担になる可能性があります。","0","1","2","9421023620692","1","0","0","1","1304","1","9","https://item-shopping.c.yimg.jp/i/l/pns_mhmgo250500;;;;;;;;;;;;;;;;;;;;"
"マヌカハニー","マヌカヘルス マヌカハニー　MGO 115+(100+)  500g　","MHMGO100500","5880","ニュージーランド産","内容量：500g　
原産地：ニュージーランド 
使用方法：食事の30分前にスプーン1杯程度を体調に合わせて服用して下さい。また、コーヒーや紅茶などにも入れて召し上がれます。 

ご注意：　ハチミツは商品特性上、加熱処理しておりませんので、1歳未満の乳児には、与えないでください。白く結晶する事がありますが品質は変わりません。","","MGO 115+ マヌカハニーは、ある種のマヌカハニーのみに多量に含まれる天然成分の食用メチルグリオキサルが1ｋｇ中に少なくとも115mg含有されていることを表示しています。
ドイツのドレスデン大学の試験によると１ｋｇ中に115mgの食用メチルグリオキサルが含まれていれば健康に役立つということが証明されました。","","0","","3","9420063101062","1","0","0","1","1304","1","10","https://item-shopping.c.yimg.jp/i/l/pns_mhmgo100500;;;;;;;;;;;;;;;;;;;;"
